Student_ID,Student_Name,Class,Board,Target_Exam,Medium,Admission_Date,Study_Mode
STU0001,Dhruv Sarraf,Class 9,CBSE,Foundation,Tamil,2025-09-30,Online
STU0002,Arya Ratta,Class 10,CBSE,Foundation,English,2025-09-25,Hybrid
STU0003,Chameli Saraf,Class 9,State Board,NEET,English,2025-04-23,Online
STU0004,Neelima Sha,Class 9,CBSE,JEE,Hindi,2025-12-29,Hybrid
STU0005,Anamika Murty,Class 9,State Board,JEE,Hindi,2024-10-12,Hybrid
STU0006,Anya Bhardwaj,Class 12,CBSE,NEET,Hindi,2025-09-14,Offline
STU0007,Vasudha Amble,Class 9,CBSE,Foundation,Tamil,2025-08-14,Offline
STU0008,Ekansh Kalla,Class 11,CBSE,JEE,Tamil,2025-08-13,Online
STU0009,Ansh Kohli,Class 9,ICSE,JEE,Tamil,2025-06-20,Offline
STU0010,Balhaar Batra,Class 11,CBSE,Foundation,Tamil,2026-04-09,Hybrid
STU0011,Ryan Ghose,Class 9,ICSE,JEE,Hindi,2025-06-24,Offline
STU0012,Hritik Sharma,Class 11,State Board,JEE,Hindi,2025-04-16,Online
STU0013,Nisha Pandya,Class 9,State Board,JEE,Tamil,2025-09-06,Online
STU0014,Vidhi Chhabra,Class 10,CBSE,NEET,Tamil,2026-01-12,Offline
STU0015,Yuvraj Varty,Class 11,CBSE,NEET,Tamil,2025-12-23,Online
STU0016,Sai Lala,Class 11,State Board,Foundation,Hindi,2026-06-29,Online
STU0017,Mohammed Contractor,Class 10,State Board,Foundation,English,2024-12-26,Online
STU0018,Inaya Kala,Class 12,ICSE,NEET,Hindi,2024-12-23,Hybrid
STU0019,Balhaar Mall,Class 10,State Board,NEET,English,2025-04-06,Online
STU0020,Devansh Divan,Class 9,ICSE,NEET,Tamil,2024-12-09,Online
STU0021,Kashvi Rastogi,Class 10,State Board,Foundation,Tamil,2024-10-10,Online
STU0022,Damyanti Wali,Class 12,ICSE,Foundation,Tamil,2026-04-11,Online
